JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
"Data Analyst, Amazon Air",https://www.linkedin.com/company/amazon,1586,Amazon,,127.0,"Riverside, CA",Full-time,,Software Development,,https://www.linkedin.com/jobs/view/3972702896/?trk=jobs_biz_prem_srch,2024-07-10 22:16:44+00:00
Senior Data Scientist - Remote,https://www.linkedin.com/company/cybercoders,21836,CyberCoders,,293.0,"Los Angeles, CA",Full-time,Mid-Senior level,Insurance,401(k),https://www.linkedin.com/jobs/view/3940579649/?trk=jobs_biz_prem_srch,2024-07-10 21:13:31+00:00
Data Engineer,https://www.linkedin.com/company/motion-recruitment-partners,5887,Motion Recruitment,,85.0,"Los Angeles, CA",Full-time,Mid-Senior level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3954174018/?trk=jobs_biz_prem_srch,2024-07-11 09:29:17+00:00
Junior data scientist/junior java docker programmer/,https://www.linkedin.com/company/synergisticit,66321745,SynergisticIT,,7.0,"Pasadena, CA",Full-time,Entry level,"Technology, Information and Media, IT Services and IT Consulting",,https://www.linkedin.com/jobs/view/3971906732/?trk=jobs_biz_prem_srch,2024-07-11 00:13:49+00:00
Senior Data Analyst (Remote),https://www.linkedin.com/company/first-american,1811868,First American,,40.0,"Santa Ana, CA",Full-time,Mid-Senior level,Financial Services,401(k),https://www.linkedin.com/jobs/view/3972733811/?trk=jobs_biz_prem_srch,2024-07-10 22:51:55+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,29.0,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953549594/?trk=jobs_biz_prem_srch,2024-07-11 09:11:30+00:00
Cloud Data Engineer: O&M and Technical Support,https://www.linkedin.com/company/federal-reserve-bank-of-san-francisco,2786,Federal Reserve Bank of San Francisco,,14.0,"San Francisco, CA",Full-time,Entry level,"Banking, Capital Markets, Financial Services",401(k),https://www.linkedin.com/jobs/view/3972737046/?trk=jobs_biz_prem_srch,2024-07-10 22:35:32+00:00
"Data Scientist, GBG Data Science",https://www.linkedin.com/company/meta,10667,Meta,,84.0,"Menlo Park, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953545868/?trk=jobs_biz_prem_srch,2024-07-11 09:30:36+00:00
Data and Processing Systems Engineer ,https://www.linkedin.com/company/conde-group-inc,99386,"Conde Group, Inc.",,25.0,"Santa Clara, CA",Full-time,Mid-Senior level,Automation Machinery Manufacturing,,https://www.linkedin.com/jobs/view/3969544504/?trk=jobs_biz_prem_srch,2024-07-10 20:44:49+00:00
Senior Data Scientist,https://www.linkedin.com/company/lekconsulting,5210,L.E.K. Consulting,,,Los Angeles Metropolitan Area,Full-time,Mid-Senior level,Business Consulting and Services,,https://www.linkedin.com/jobs/view/3971908255/?trk=jobs_biz_prem_srch,2024-07-11 01:10:00+00:00
Intelligence Analyst,https://www.linkedin.com/company/goarmy,64693636,GoArmy,,,"Marina, CA",Full-time,Mid-Senior level,Armed Forces,"Dental insurance, Medical insurance, Vision insurance, Disability insurance",https://www.linkedin.com/jobs/view/3972974578/?trk=jobs_biz_prem_srch,2024-07-11 09:39:35+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,22.0,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953551332/?trk=jobs_biz_prem_srch,2024-07-11 10:39:18+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,58.0,"Menlo Park, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953545888/?trk=jobs_biz_prem_srch,2024-07-11 10:07:55+00:00
Principal Data Engineer,https://www.linkedin.com/company/salesforce,3185,Salesforce,,28.0,"San Francisco, CA",Full-time,,"Software Development, IT Services and IT Consulting, Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3954762335/?trk=jobs_biz_prem_srch,2024-07-11 10:39:24+00:00
"Senior Data Analyst, Product Marketing",https://www.linkedin.com/company/chime-card,3738695,Chime,,32.0,"San Francisco, CA",Internship,Mid-Senior level,Financial Services,,https://www.linkedin.com/jobs/view/3971908964/?trk=jobs_biz_prem_srch,2024-07-11 02:28:56+00:00
Data Scientist,https://www.linkedin.com/company/fractal-analytics,26945,Fractal,,182.0,San Francisco Bay Area,Contract,Mid-Senior level,Business Consulting and Services,,https://www.linkedin.com/jobs/view/3969541124/?trk=jobs_biz_prem_srch,2024-07-10 20:02:34+00:00
Senior Data Scientist - Inference & Algorithms,https://www.linkedin.com/company/linkedin,1337,LinkedIn,,1867.0,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet, IT Services and IT Consulting",,https://www.linkedin.com/jobs/view/3860330822/?trk=jobs_biz_prem_srch,2024-07-11 08:00:12+00:00
Water Data Analyst,https://www.linkedin.com/company/stanford-university,1792,Stanford University,,152.0,"Stanford, CA",Full-time,Entry level,Higher Education,,https://www.linkedin.com/jobs/view/3971502240/?trk=jobs_biz_prem_srch,2024-07-10 21:06:56+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,200.0,"San Francisco, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953545870/?trk=jobs_biz_prem_srch,2024-07-11 09:13:30+00:00
"Data Scientist, Product Analytics - Machine Learning",https://www.linkedin.com/company/meta,10667,Meta,,,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3972326474/?trk=jobs_biz_prem_srch,2024-07-11 10:32:27+00:00
Technical Data Analyst,https://www.linkedin.com/company/mavinsys,95739137,Mavinsys,,,"San Francisco, CA",Full-time,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3972929988/?trk=jobs_biz_prem_srch,2024-07-11 04:51:43+00:00
"Senior Data Scientist 2, Biological",https://www.linkedin.com/company/eikon-therapeutics-inc,28973017,Eikon Therapeutics,,9.0,"Hayward, CA",Full-time,Mid-Senior level,Biotechnology Research,"401(k), Vision insurance",https://www.linkedin.com/jobs/view/3969576789/?trk=jobs_biz_prem_srch,2024-07-11 04:07:18+00:00
Business Intelligence (BI) Analyst,https://www.linkedin.com/company/robert-half-international,1681,Robert Half,,,"Newport Beach, CA",Full-time,Entry level,Staffing and Recruiting,"401(k), Disability insurance",https://www.linkedin.com/jobs/view/3972567589/?trk=jobs_biz_prem_srch,2024-07-10 20:14:41+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,33.0,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953551353/?trk=jobs_biz_prem_srch,2024-07-11 09:25:10+00:00
Senior Data Engineer - Data Science,https://www.linkedin.com/company/linkedin,1337,LinkedIn,,1346.0,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet, IT Services and IT Consulting",,https://www.linkedin.com/jobs/view/3951532647/?trk=jobs_biz_prem_srch,2024-07-11 08:00:15+00:00
Data Engineer,https://www.linkedin.com/company/req-solutions-pvt-ltd,13613470,REQ Solutions,,119.0,"San Francisco, CA",Contract,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3972594706/?trk=jobs_biz_prem_srch,2024-07-10 21:41:31+00:00
Senior Business Data Analyst,https://www.linkedin.com/company/mavinsys,95739137,Mavinsys,,,"San Francisco, CA",Full-time,Mid-Senior level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3972933286/?trk=jobs_biz_prem_srch,2024-07-11 04:32:28+00:00
Data Scientist,https://www.linkedin.com/company/adobe,1480,Adobe,,139.0,"San Jose, CA",Full-time,Entry level,"Advertising Services, IT Services and IT Consulting, Software Development",,https://www.linkedin.com/jobs/view/3953194156/?trk=jobs_biz_prem_srch,2024-07-11 10:50:42+00:00
"Senior Data Scientist & Technical Lead, People Analytics",https://www.linkedin.com/company/adobe,1480,Adobe,,3.0,"San Francisco, CA",Full-time,Mid-Senior level,"Advertising Services, IT Services and IT Consulting, Software Development",,https://www.linkedin.com/jobs/view/3969568968/?trk=jobs_biz_prem_srch,2024-07-11 03:23:22+00:00
"Data Scientist, Product Analytics - Monetization",https://www.linkedin.com/company/meta,10667,Meta,,20.0,"Menlo Park, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953552663/?trk=jobs_biz_prem_srch,2024-07-11 09:29:24+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,22.0,"Burlingame, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953545867/?trk=jobs_biz_prem_srch,2024-07-11 09:11:30+00:00
"Data Scientist, Operations - Trust & Safety - San Jose",https://www.linkedin.com/company/tiktok,33246798,TikTok,,8.0,"San Jose, CA",Full-time,,Entertainment Providers,"Medical insurance, Disability insurance, 401(k)",https://www.linkedin.com/jobs/view/3972923932/?trk=jobs_biz_prem_srch,2024-07-11 04:33:16+00:00
Senior Data Security Engineer,https://www.linkedin.com/company/itresourcehunter,14450868,IT Resource Hunter,,31.0,"Sunnyvale, CA",Full-time,Mid-Senior level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3971495657/?trk=jobs_biz_prem_srch,2024-07-10 19:19:40+00:00
Sr. Test Data Engineer,https://www.linkedin.com/company/clickjobsio,3516935,ClickJobs.io,,,"Brea, CA",Full-time,Mid-Senior level,Human Resources Services,,https://www.linkedin.com/jobs/view/3969982148/?trk=jobs_biz_prem_srch,2024-07-11 08:34:14+00:00
"Senior Data Scientist, Business Intelligence",https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,268.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3961795912/?trk=jobs_biz_prem_srch,2024-07-10 18:49:32+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,41.0,"Menlo Park, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953551335/?trk=jobs_biz_prem_srch,2024-07-11 09:11:30+00:00
Data Engineer,https://www.linkedin.com/company/research-affiliates,77280,Research Affiliates,,173.0,"Newport Beach, CA",Full-time,Mid-Senior level,Financial Services,,https://www.linkedin.com/jobs/view/3969535226/?trk=jobs_biz_prem_srch,2024-07-10 20:54:37+00:00
CRA Data Analytic Analyst,https://www.linkedin.com/company/city-national-bank,163069,City National Bank,,51.0,"Los Angeles, CA",Full-time,,Banking,,https://www.linkedin.com/jobs/view/3963251889/?trk=jobs_biz_prem_srch,2024-07-11 03:19:12+00:00
"Data Engineer, Product Analytics",https://www.linkedin.com/company/meta,10667,Meta,,54.0,"San Francisco, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953549585/?trk=jobs_biz_prem_srch,2024-07-11 09:25:09+00:00
Senior Data Engineer,https://www.linkedin.com/company/pivotal-talent-search,7944952,Pivotal Talent Search,,37.0,"Oakland, CA",Full-time,Mid-Senior level,"Services for Renewable Energy, Utilities, Environmental Quality Programs",,https://www.linkedin.com/jobs/view/3972774210/?trk=jobs_biz_prem_srch,2024-07-11 00:34:31+00:00
Data Engineer,https://www.linkedin.com/company/appfolio,99055,AppFolio,,56.0,"Santa Barbara, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3972929153/?trk=jobs_biz_prem_srch,2024-07-11 04:17:26+00:00
Staff Data Scientist - Growth,https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,351.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3916970161/?trk=jobs_biz_prem_srch,2024-07-10 18:54:22+00:00
Senior Staff Data Scientist - Flagship Applied Science ,https://www.linkedin.com/company/linkedin,1337,LinkedIn,,938.0,"Sunnyvale, CA",Full-time,,"Technology, Information and Internet, IT Services and IT Consulting, Software Development",,https://www.linkedin.com/jobs/view/3806467719/?trk=jobs_biz_prem_srch,2024-07-11 08:00:12+00:00
Staff Data Scientist,https://www.linkedin.com/company/intuit,1666,Intuit,,28.0,"San Diego, CA",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3954764376/?trk=jobs_biz_prem_srch,2024-07-11 10:12:39+00:00
"Games Data Scientist, AGS Data Science",https://www.linkedin.com/company/amazongames,78392228,Amazon Games,,8.0,"San Diego, CA",Full-time,,Entertainment Providers,,https://www.linkedin.com/jobs/view/3972706774/?trk=jobs_biz_prem_srch,2024-07-10 22:16:45+00:00
